order,model_2.output1.net.result,prediction,actual,0.657998913,ANN Forecast Value,Train Sets Accuracy (Total=65.80%),prediction,ratio
114,0.201866748,0,0,1,,,,
115,0.379650439,0,0,1,,,,
116,0.722680966,1,1,1,,,,
117,0.72012541,1,1,1,,,,
118,0.399731352,0,1,0,,,,
119,0.589337928,1,1,1,,,,
120,0.829171707,1,1,1,,,,
121,0.746831609,1,1,1,,,,
122,0.56710931,1,1,1,,,,
123,0.438508117,0,1,0,,,,
124,0.375658636,0,0,1,,,,
125,0.697813309,1,1,1,,,,
126,0.616889459,1,1,1,,,,
127,0.200328286,0,1,0,,,,
128,0.619782386,1,0,0,,,,
129,0.483565695,0,1,0,,,,
130,0.477009515,0,1,0,,,,
131,0.376028357,0,1,0,,,,
132,0.345887456,0,0,1,,,,
133,0.477320772,0,0,1,,,,
134,0.90672394,1,1,1,,,,
135,0.522853707,1,0,0,,,,
136,0.84171141,1,1,1,,,,
137,0.445767102,0,1,0,,,,
138,0.901580977,1,1,1,,,,
139,0.246748278,0,0,1,,,,
140,0.375134808,0,1,0,,,,
141,0.726343724,1,0,0,,,,
142,0.778744009,1,1,1,,,,
143,0.772454405,1,1,1,,,,
144,0.392271878,0,0,1,,,,
145,0.745348241,1,1,1,,,,
146,0.776177147,1,1,1,,,,
147,0.429700821,0,0,1,,,,
148,0.767289433,1,1,1,,,,
149,0.491755357,0,1,0,,,,
150,0.882161831,1,1,1,,,,
151,0.48263608,0,0,1,,,,
152,0.467076733,0,1,0,,,,
153,0.963246548,1,1,1,,,,
154,0.309450015,0,1,0,,,,
155,0.788009337,1,1,1,,,,
156,0.325108588,0,0,1,,,,
157,0.814501322,1,1,1,,,,
158,0.555401819,1,0,0,,,,
159,0.351572553,0,0,1,,,,
160,0.502211878,1,0,0,,,,
161,0.344452429,0,0,1,,,,
162,0.802966867,1,1,1,,,,
163,0.684736807,1,1,1,,,,
164,0.416875645,0,0,1,,,,
165,0.671265385,1,0,0,,,,
166,0.696931057,1,1,1,,,,
167,0.14526397,0,1,0,,,,
168,0.612910325,1,0,0,,,,
169,0.385363686,0,0,1,,,,
170,0.495954637,0,1,0,,,,
171,0.271977921,0,0,1,,,,
172,0.84861644,1,0,0,,,,
173,0.280540417,0,1,0,,,,
174,0.556604417,1,1,1,,,,
175,0.354962358,0,1,0,,,,
176,0.312679395,0,0,1,,,,
177,0.77323933,1,1,1,,,,
178,0.57985586,1,1,1,,,,
179,0.694064545,1,1,1,,,,
180,0.193369493,0,0,1,,,,
181,0.65996474,1,1,1,,,,
182,0.393928312,0,0,1,,,,
183,0.439998163,0,1,0,,,,
184,0.719897081,1,1,1,,,,
185,0.420316984,0,1,0,,,,
186,0.464465571,0,0,1,,,,
187,0.736378409,1,0,0,,,,
188,0.677522171,1,1,1,,,,
189,0.894281906,1,1,1,,,,
190,0.395843786,0,1,0,,,,
191,0.887531018,1,0,0,,,,
192,0.534877871,1,1,1,,,,
193,0.669408105,1,1,1,,,,
194,0.301518948,0,0,1,,,,
195,0.538628435,1,0,0,,,,
196,0.476453698,0,0,1,,,,
197,0.418739058,0,1,0,,,,
198,0.338527313,0,0,1,,,,
199,0.600540055,1,1,1,,,,
200,0.400639821,0,1,0,,,,
201,0.403536984,0,0,1,,,,
202,0.688124284,1,0,0,,,,
203,0.75239079,1,1,1,,,,
204,0.478357493,0,0,1,,,,
205,0.794755035,1,1,1,,,,
206,0.823814361,1,0,0,,,,
207,0.59762791,1,0,0,,,,
208,0.512884471,1,1,1,,,,
209,0.46305529,0,1,0,,,,
210,0.548477432,1,0,0,,,,
211,0.30987231,0,0,1,,,,
212,0.43492354,0,0,1,,,,
213,0.360305574,0,0,1,,,,
214,0.332914643,0,1,0,,,,
215,0.222296284,0,0,1,,,,
216,0.365220842,0,1,0,,,,
217,0.387935288,0,0,1,,,,
218,0.538850701,1,0,0,,,,
219,0.656445195,1,1,1,,,,
220,0.713232828,1,1,1,,,,
221,0.474379315,0,0,1,,,,
222,0.411780642,0,0,1,,,,
223,0.226873636,0,0,1,,,,
224,0.490139393,0,1,0,,,,
225,0.351075415,0,0,1,,,,
226,0.866636156,1,1,1,,,,
227,0.348675435,0,1,0,,,,
228,0.795211031,1,1,1,,,,
229,0.414645184,0,1,0,,,,
230,0.35196352,0,0,1,,,,
231,0.472960502,0,1,0,,,,
232,0.87084182,1,1,1,,,,
233,0.277098841,0,1,0,,,,
234,0.537527214,1,1,1,,,,
235,0.543054718,1,1,1,,,,
236,0.41135154,0,0,1,,,,
237,0.615877485,1,1,1,,,,
238,0.750765291,1,1,1,,,,
239,0.333627465,0,0,1,,,,
240,0.199386003,0,0,1,,,,
241,0.367613039,0,0,1,,,,
242,0.377477244,0,0,1,,,,
243,0.614366889,1,1,1,,,,
244,0.871737217,1,1,1,,,,
245,0.384256048,0,1,0,,,,
246,0.313118131,0,0,1,,,,
247,0.366154547,0,1,0,,,,
248,0.29509274,0,0,1,,,,
249,0.475892815,0,1,0,,,,
250,0.982453218,1,1,1,,,,
251,0.454006961,0,0,1,,,,
252,0.356070317,0,1,0,,,,
253,0.201492431,0,0,1,,,,
254,0.603967966,1,1,1,,,,
255,0.225981379,0,1,0,,,,
256,0.344612646,0,0,1,,,,
257,0.637994566,1,1,1,,,,
258,0.64816605,1,1,1,,,,
259,0.331574776,0,1,0,,,,
260,0.545970205,1,1,1,,,,
261,0.522803505,1,1,1,,,,
262,0.544641554,1,1,1,,,,
263,0.840879461,1,1,1,,,,
264,0.865271796,1,1,1,,,,
265,0.565960205,1,0,0,,,,
266,0.187064271,0,0,1,,,,
267,0.388002733,0,0,1,,,,
268,0.409248567,0,1,0,,,,
269,0.174808273,0,0,1,,,,
270,0.477946639,0,0,1,,,,
271,0.328786444,0,0,1,,,,
272,0.464220012,0,1,0,,,,
273,0.400106861,0,0,1,,,,
274,0.645482525,1,0,0,,,,
275,0.513035006,1,0,0,,,,
276,0.638886707,1,0,0,,,,
277,0.47160582,0,1,0,,,,
278,0.23572523,0,0,1,,,,
279,0.472957147,0,0,1,,,,
280,0.406701616,0,0,1,,,,
281,0.345704859,0,0,1,,,,
282,0.609796863,1,0,0,,,,
283,0.169016955,0,0,1,,,,
284,0.822286374,1,1,1,,,,
285,0.424383333,0,0,1,,,,
286,0.214391572,0,0,1,,,,
287,0.365239801,0,0,1,,,,
288,0.278796912,0,0,1,,,,
289,0.324178679,0,0,1,,,,
290,0.783308124,1,1,1,,,,
291,0.873310627,1,0,0,,,,
292,0.68169422,1,1,1,,,,
293,0.477187925,0,0,1,,,,
294,0.645784669,1,0,0,,,,
295,0.191442023,0,0,1,,,,
296,0.341531975,0,0,1,,,,
297,0.486655618,0,1,0,,,,
298,0.542297014,1,0,0,,,,
299,0.177919789,0,0,1,,,,
300,0.630987694,1,1,1,,,,
301,0.567225669,1,1,1,,,,
302,0.300235319,0,0,1,,,,
303,0.399537187,0,1,0,,,,
304,0.180852865,0,0,1,,,,
305,0.759819696,1,1,1,,,,
306,0.654738986,1,1,1,,,,
307,0.262187554,0,0,1,,,,
308,0.871215688,1,1,1,,,,
309,0.814574557,1,0,0,,,,
310,0.295545432,0,0,1,,,,
311,0.453684566,0,0,1,,,,
312,0.386661265,0,0,1,,,,
313,0.715459246,1,1,1,,,,
314,0.249353047,0,1,0,,,,
315,0.460308994,0,1,0,,,,
316,0.657565673,1,1,1,,,,
317,0.414502536,0,1,0,,,,
318,0.304928821,0,0,1,,,,
319,0.222353186,0,0,1,,,,
320,0.827702865,1,1,1,,,,
321,0.837363986,1,1,1,,,,
322,0.542477845,1,0,0,,,,
323,0.337772582,0,1,0,,,,
324,0.450287772,0,0,1,,,,
325,0.635809749,1,1,1,,,,
326,0.503379564,1,1,1,,,,
327,0.414249647,0,1,0,,,,
328,0.42288975,0,1,0,,,,
329,0.541048842,1,1,1,,,,
330,0.682242211,1,0,0,,,,
331,0.493978923,0,1,0,,,,
332,0.650805795,1,0,0,,,,
333,0.841800875,1,0,0,,,,
334,0.454938604,0,0,1,,,,
335,0.590007526,1,1,1,,,,
336,0.40434036,0,1,0,,,,
337,0.701318054,1,1,1,,,,
338,0.682852675,1,1,1,,,,
339,0.406509609,0,0,1,,,,
340,0.525934121,1,1,1,,,,
341,0.443093336,0,1,0,,,,
342,0.415910253,0,0,1,,,,
343,0.655722604,1,1,1,,,,
344,0.419261972,0,1,0,,,,
345,0.800884695,1,0,0,,,,
346,0.843216978,1,1,1,,,,
347,0.503947361,1,1,1,,,,
348,0.346396831,0,0,1,,,,
349,0.618249145,1,1,1,,,,
350,0.398827252,0,0,1,,,,
351,0.355693904,0,1,0,,,,
352,0.284332273,0,0,1,,,,
353,0.135842243,0,0,1,,,,
354,0.327150203,0,0,1,,,,
355,0.451114228,0,0,1,,,,
356,0.449061824,0,1,0,,,,
357,0.694427006,1,1,1,,,,
358,0.288518747,0,0,1,,,,
359,0.29578381,0,0,1,,,,
360,0.319452262,0,0,1,,,,
361,0.555516674,1,0,0,,,,
362,0.509948775,1,0,0,,,,
363,0.479881005,0,0,1,,,,
364,0.648358135,1,1,1,,,,
365,0.430196673,0,1,0,,,,
366,0.597825899,1,1,1,,,,
367,0.414121781,0,0,1,,,,
368,0.238473925,0,0,1,,,,
369,0.485586656,0,0,1,,,,
370,0.308485281,0,0,1,,,,
371,0.767984217,1,1,1,,,,
372,0.408920512,0,1,0,,,,
373,0.230294617,0,0,1,,,,
374,0.570330418,1,1,1,,,,
375,0.180372104,0,0,1,,,,
376,0.343326573,0,1,0,,,,
377,0.91267392,1,1,1,,,,
378,0.252302139,0,0,1,,,,
379,0.900155363,1,1,1,,,,
380,0.7051635,1,1,1,,,,
381,0.4217582,0,0,1,,,,
382,0.633435221,1,1,1,,,,
383,0.319063235,0,0,1,,,,
384,0.652891239,1,1,1,,,,
385,0.82488428,1,1,1,,,,
386,0.530074151,1,0,0,,,,
387,0.464265328,0,1,0,,,,
388,0.495562605,0,1,0,,,,
389,0.58729701,1,1,1,,,,
390,0.725273496,1,1,1,,,,
391,0.540036911,1,1,1,,,,
392,0.428403904,0,0,1,,,,
393,0.530682748,1,0,0,,,,
394,0.690983762,1,0,0,,,,
395,0.794306269,1,1,1,,,,
396,0.290087225,0,0,1,,,,
397,0.431074271,0,1,0,,,,
398,0.881236037,1,1,1,,,,
399,0.355583306,0,0,1,,,,
400,0.222720988,0,1,0,,,,
401,0.361559241,0,0,1,,,,
402,0.709393213,1,1,1,,,,
403,0.337513613,0,0,1,,,,
404,0.468161992,0,0,1,,,,
405,0.366968869,0,0,1,,,,
406,0.431796617,0,1,0,,,,
407,0.469395047,0,0,1,,,,
408,0.646503,1,1,1,,,,
409,0.527265262,1,0,0,,,,
410,0.267245713,0,0,1,,,,
411,0.406631799,0,0,1,,,,
412,0.282937434,0,0,1,,,,
413,0.287681661,0,0,1,,,,
414,0.265393141,0,0,1,,,,
415,0.840262672,1,1,1,,,,
416,0.548420988,1,1,1,,,,
417,0.486374688,0,0,1,,,,
418,0.825739668,1,1,1,,,,
419,0.420301485,0,1,0,,,,
420,0.349875213,0,0,1,,,,
421,0.321942028,0,0,1,,,,
422,0.39838767,0,1,0,,,,
423,0.622213523,1,0,0,,,,
424,0.365692837,0,1,0,,,,
425,0.727359603,1,1,1,,,,
426,0.564575532,1,0,0,,,,
427,0.219975451,0,0,1,,,,
428,0.347410457,0,1,0,,,,
429,0.372999789,0,0,1,,,,
430,0.35924342,0,1,0,,,,
431,0.853272601,1,1,1,,,,
432,0.738889479,1,0,0,,,,
433,0.496437664,0,1,0,,,,
434,0.589412389,1,0,0,,,,
435,0.835225356,1,1,1,,,,
436,0.521758656,1,1,1,,,,
437,0.371811987,0,0,1,,,,
438,0.663206344,1,1,1,,,,
439,0.736010697,1,0,0,,,,
440,0.48064936,0,0,1,,,,
441,0.125470663,0,0,1,,,,
442,0.342890694,0,0,1,,,,
443,0.809938533,1,1,1,,,,
444,0.469437042,0,0,1,,,,
445,0.694174092,1,1,1,,,,
446,0.699820192,1,1,1,,,,
447,0.595613498,1,1,1,,,,
448,0.60841949,1,1,1,,,,
449,0.36067941,0,0,1,,,,
450,0.446252067,0,0,1,,,,
451,0.700959268,1,0,0,,,,
452,0.420230681,0,0,1,,,,
453,0.848873759,1,1,1,,,,
454,0.349199133,0,0,1,,,,
455,0.908441692,1,0,0,,,,
456,0.545954764,1,0,0,,,,
457,0.686243103,1,1,1,,,,
458,0.801936886,1,0,0,,,,
459,0.593534576,1,1,1,,,,
460,0.504218329,1,1,1,,,,
461,0.50289686,1,0,0,,,,
462,0.707310784,1,1,1,,,,
463,0.436942101,0,1,0,,,,
464,0.575331782,1,1,1,,,,
465,0.878610301,1,1,1,,,,
466,0.762009451,1,0,0,,,,
467,0.219986686,0,1,0,,,,
468,0.630441614,1,1,1,,,,
469,0.829737181,1,0,0,,,,
470,0.202737588,0,0,1,,,,
471,0.374124973,0,1,0,,,,
472,0.367458533,0,1,0,,,,
473,0.800116245,1,1,1,,,,
474,0.151427775,0,1,0,,,,
475,0.500640468,1,1,1,,,,
476,0.393345015,0,1,0,,,,
477,0.419903976,0,1,0,,,,
478,0.437327955,0,1,0,,,,
479,0.266994333,0,0,1,,,,
480,0.712404839,1,1,1,,,,
481,0.518470845,1,0,0,,,,
482,0.854504107,1,1,1,,,,
483,0.377059341,0,0,1,,,,
484,0.361213822,0,0,1,,,,
485,0.65699175,1,0,0,,,,
486,0.380909399,0,1,0,,,,
487,0.490762467,0,0,1,,,,
488,0.595910218,1,0,0,,,,
489,0.454579821,0,0,1,,,,
490,0.523149691,1,0,0,,,,
491,0.196745968,0,0,1,,,,
492,0.415342365,0,0,1,,,,
493,0.808320521,1,1,1,,,,
494,0.336566612,0,0,1,,,,
495,0.51502275,1,1,1,,,,
496,0.41388027,0,1,0,,,,
497,0.432452313,0,0,1,,,,
498,0.666802366,1,1,1,,,,
499,0.339904141,0,0,1,,,,
500,0.636018769,1,0,0,,,,
501,0.40859386,0,1,0,,,,
502,0.634845447,1,1,1,,,,
503,0.460788735,0,0,1,,,,
504,0.355560307,0,0,1,,,,
505,0.625494536,1,0,0,,,,
506,0.257871363,0,0,1,,,,
507,0.524870732,1,1,1,,,,
508,0.545200842,1,1,1,,,,
509,0.482398104,0,1,0,,,,
510,0.240720034,0,1,0,,,,
511,0.502395997,1,1,1,,,,
512,0.184025001,0,1,0,,,,
513,0.789308112,1,1,1,,,,
514,0.654336083,1,0,0,,,,
515,0.374515458,0,0,1,,,,
516,0.407439458,0,1,0,,,,
517,0.34353434,0,1,0,,,,
518,0.698924306,1,1,1,,,,
519,0.802877276,1,1,1,,,,
520,0.465770394,0,1,0,,,,
521,0.849699333,1,1,1,,,,
522,0.841509218,1,1,1,,,,
523,0.905092769,1,1,1,,,,
524,0.376322433,0,1,0,,,,
525,0.266128805,0,0,1,,,,
526,0.537833207,1,0,0,,,,
527,0.379278961,0,0,1,,,,
528,0.402442565,0,1,0,,,,
529,0.239703383,0,1,0,,,,
530,0.449239447,0,0,1,,,,
531,0.541526412,1,1,1,,,,
532,0.775376487,1,1,1,,,,
533,0.424826918,0,1,0,,,,
534,0.322079405,0,0,1,,,,
535,0.52257069,1,0,0,,,,
536,0.560385975,1,1,1,,,,
537,0.289463767,0,0,1,,,,
538,0.386437031,0,0,1,,,,
539,0.506468428,1,1,1,,,,
540,0.804549037,1,1,1,,,,
541,0.162073928,0,0,1,,,,
542,0.529959556,1,0,0,,,,
543,0.632746121,1,1,1,,,,
544,0.763617529,1,1,1,,,,
545,0.812991035,1,1,1,,,,
546,0.735503957,1,1,1,,,,
547,0.555371679,1,0,0,,,,
548,0.386350593,0,0,1,,,,
549,0.337720954,0,0,1,,,,
550,0.270969849,0,0,1,,,,
551,0.925252736,1,1,1,,,,
552,0.359796549,0,0,1,,,,
553,0.328430161,0,0,1,,,,
554,0.229707427,0,0,1,,,,
555,0.427639775,0,0,1,,,,
556,0.699128216,1,1,1,,,,
557,0.56432512,1,0,0,,,,
558,0.494608623,0,1,0,,,,
559,0.356895066,0,1,0,,,,
560,0.34689972,0,0,1,,,,
561,0.200182295,0,0,1,,,,
562,0.450474204,0,1,0,,,,
563,0.268814621,0,1,0,,,,
564,0.663144841,1,1,1,,,,
565,0.631227948,1,0,0,,,,
566,0.44624755,0,1,0,,,,
567,0.504707492,1,1,1,,,,
568,0.780280649,1,1,1,,,,
569,0.469941264,0,0,1,,,,
570,0.50753629,1,1,1,,,,
571,0.507214411,1,1,1,,,,
572,0.578442744,1,0,0,,,,
573,0.488358184,0,1,0,,,,
574,0.335299181,0,0,1,,,,
575,0.938557116,1,1,1,,,,
576,0.249072188,0,1,0,,,,
577,0.487311562,0,0,1,,,,
578,0.3877214,0,1,0,,,,
579,0.289915052,0,0,1,,,,
580,0.366305414,0,1,0,,,,
581,0.729891897,1,1,1,,,,
582,0.462079082,0,0,1,,,,
583,0.494754661,0,0,1,,,,
584,0.862076602,1,0,0,,,,
585,0.776724685,1,1,1,,,,
586,0.403994174,0,0,1,,,,
587,0.537921006,1,1,1,,,,
588,0.633879588,1,1,1,,,,
589,0.472792019,0,1,0,,,,
590,0.754191601,1,1,1,,,,
591,0.493881786,0,0,1,,,,
592,0.725867588,1,1,1,,,,
593,0.86696557,1,1,1,,,,
594,0.736577772,1,1,1,,,,
595,0.420074905,0,1,0,,,,
596,0.270020057,0,1,0,,,,
597,0.79290784,1,1,1,,,,
598,0.192071137,0,0,1,,,,
599,0.177155065,0,0,1,,,,
600,0.330296772,0,1,0,,,,
601,0.868083594,1,0,0,,,,
602,0.539663562,1,0,0,,,,
603,0.883982955,1,1,1,,,,
604,0.255338222,0,1,0,,,,
605,0.391227069,0,1,0,,,,
606,0.293509919,0,1,0,,,,
607,0.422496078,0,1,0,,,,
608,0.302548951,0,1,0,,,,
609,0.235818502,0,0,1,,,,
610,0.340917559,0,0,1,,,,
611,0.39133569,0,0,1,,,,
612,0.736471778,1,1,1,,,,
613,0.119041637,0,0,1,,,,
614,0.673847689,1,0,0,,,,
615,0.448157505,0,0,1,,,,
616,0.383035058,0,1,0,,,,
617,0.341570968,0,1,0,,,,
618,0.900738222,1,1,1,,,,
619,0.32392758,0,0,1,,,,
620,0.589819284,1,1,1,,,,
621,0.328163569,0,0,1,,,,
622,0.480006659,0,1,0,,,,
623,0.551008442,1,1,1,,,,
624,0.261546586,0,0,1,,,,
625,0.496227552,0,1,0,,,,
626,0.415309902,0,1,0,,,,
627,0.427932564,0,0,1,,,,
628,0.534670938,1,1,1,,,,
629,0.352577762,0,0,1,,,,
630,0.499769897,0,1,0,,,,
631,0.828123801,1,1,1,,,,
632,0.116703258,0,0,1,,,,
633,0.331035941,0,0,1,,,,
634,0.448762321,0,0,1,,,,
635,0.530720472,1,0,0,,,,
636,0.540991151,1,1,1,,,,
637,0.366769595,0,0,1,,,,
638,0.269830058,0,0,1,,,,
639,0.525167127,1,1,1,,,,
640,0.676704937,1,1,1,,,,
641,0.651540209,1,1,1,,,,
642,0.736588358,1,1,1,,,,
643,0.911655758,1,0,0,,,,
644,0.710879108,1,1,1,,,,
645,0.191430595,0,0,1,,,,
646,0.185940736,0,0,1,,,,
647,0.25410056,0,1,0,,,,
648,0.501355317,1,0,0,,,,
649,0.626130067,1,0,0,,,,
650,0.466026199,0,1,0,,,,
651,0.543372215,1,1,1,,,,
652,0.611634952,1,0,0,,,,
653,0.390172017,0,0,1,,,,
654,0.265941945,0,1,0,,,,
655,0.795944671,1,1,1,,,,
656,0.502819352,1,1,1,,,,
657,0.822939037,1,1,1,,,,
658,0.454774146,0,0,1,,,,
659,0.427521899,0,0,1,,,,
660,0.540521166,1,0,0,,,,
661,0.614664167,1,1,1,,,,
662,0.646123854,1,0,0,,,,
663,0.524978436,1,1,1,,,,
664,0.707373835,1,0,0,,,,
665,0.775985636,1,1,1,,,,
666,0.405292184,0,1,0,,,,
667,0.38030436,0,1,0,,,,
668,0.504057596,1,1,1,,,,
669,0.440812673,0,1,0,,,,
670,0.787763852,1,0,0,,,,
671,0.363447293,0,0,1,,,,
672,0.560289361,1,1,1,,,,
673,0.335941622,0,1,0,,,,
674,0.571304806,1,0,0,,,,
675,0.494990489,0,1,0,,,,
676,0.375340362,0,0,1,,,,
677,0.452643185,0,1,0,,,,
678,0.39986909,0,0,1,,,,
679,0.511479711,1,1,1,,,,
680,0.240260229,0,0,1,,,,
681,0.393424711,0,0,1,,,,
682,0.697470422,1,1,1,,,,
683,0.23230744,0,1,0,,,,
684,0.71314259,1,1,1,,,,
685,0.503139065,1,0,0,,,,
686,0.452134202,0,1,0,,,,
687,0.641271281,1,1,1,,,,
688,0.467228514,0,0,1,,,,
689,0.385017274,0,0,1,,,,
690,0.184946757,0,0,1,,,,
691,0.71528313,1,1,1,,,,
692,0.398025806,0,0,1,,,,
693,0.279690143,0,0,1,,,,
694,0.495113688,0,0,1,,,,
695,0.411043098,0,1,0,,,,
696,0.35861341,0,1,0,,,,
697,0.383976723,0,1,0,,,,
698,0.50380128,1,0,0,,,,
699,0.319336288,0,1,0,,,,
700,0.4333696,0,0,1,,,,
701,0.493324752,0,0,1,,,,
702,0.39772443,0,0,1,,,,
703,0.536005564,1,0,0,,,,
704,0.472962144,0,1,0,,,,
705,0.436697445,0,0,1,,,,
706,0.317311997,0,1,0,,,,
707,0.326801132,0,1,0,,,,
708,0.514053002,1,0,0,,,,
709,0.350894837,0,1,0,,,,
710,0.35517133,0,0,1,,,,
711,0.389817395,0,0,1,,,,
712,0.303568384,0,0,1,,,,
713,0.26717463,0,0,1,,,,
714,0.600763397,1,0,0,,,,
715,0.533324081,1,1,1,,,,
716,0.183484639,0,0,1,,,,
717,0.487158715,0,1,0,,,,
718,0.155596614,0,0,1,,,,
719,0.266200973,0,0,1,,,,
720,0.732449217,1,1,1,,,,
721,0.304244928,0,0,1,,,,
722,0.272309958,0,0,1,,,,
723,0.443690234,0,0,1,,,,
724,0.509962469,1,1,1,,,,
725,0.359685513,0,0,1,,,,
726,0.563689789,1,1,1,,,,
727,0.783790926,1,1,1,,,,
728,0.615045778,1,1,1,,,,
729,0.481105546,0,0,1,,,,
730,0.240880092,0,0,1,,,,
731,0.331116323,0,0,1,,,,
732,0.706887021,1,1,1,,,,
733,0.388694016,0,1,0,,,,
734,0.398320995,0,1,0,,,,
735,0.543831179,1,1,1,,,,
736,0.902662907,1,1,1,,,,
737,0.508278535,1,0,0,,,,
738,0.943578956,1,0,0,,,,
739,0.865325523,1,1,1,,,,
740,0.621673304,1,1,1,,,,
741,0.828544417,1,1,1,,,,
742,0.476223446,0,0,1,,,,
743,0.71770629,1,0,0,,,,
744,0.650650689,1,1,1,,,,
745,0.75424956,1,0,0,,,,
746,0.875715167,1,1,1,,,,
747,0.710853829,1,1,1,,,,
748,0.65681067,1,1,1,,,,
749,0.628071675,1,1,1,,,,
750,0.384904263,0,0,1,,,,
751,0.694738018,1,0,0,,,,
752,0.703591244,1,1,1,,,,
753,0.62263529,1,1,1,,,,
754,0.597973315,1,0,0,,,,
755,0.310248315,0,1,0,,,,
756,0.623070049,1,1,1,,,,
757,0.326510426,0,0,1,,,,
758,0.644155401,1,0,0,,,,
759,0.77989471,1,1,1,,,,
760,0.301880224,0,0,1,,,,
761,0.904271047,1,1,1,,,,
762,0.269260857,0,0,1,,,,
