,model_2.output2.net.result,prediction,,,,,,,model_2.output2.net.result,prediction
25866,0.475265736,0,,,,,,25866,0.502830526,1
25867,0.362363105,0,,,,,,25867,0.361084189,0
25868,0.541093324,1,,,,,,25868,0.540010607,1
25869,0.600834519,1,,,,,,25869,0.596223347,1
25870,0.348467453,0,,,,,,25870,0.596223347,1
25871,0.251939993,0,,,,,,25871,0.518842187,1
25872,0.445950454,0,,,,,,25872,0.532292745,1
25873,0.461670062,0,,,,,,25873,0.596223347,1
25874,0.522848395,1,,,,,,25874,0.374754013,0
25875,0.66131451,1,,,,,,25875,0.535505907,1
25876,0.538483393,1,,,,,,25876,0.541817403,1
25877,0.331646319,0,,,,,,25877,0.357680544,0
25878,0.821348102,1,,,,,,25878,0.596223347,1
25879,0.18804543,0,,,,,,25879,0.374944685,0
25880,0.35600571,0,,,,,,25880,0.39492715,0
25881,0.761340908,1,,,,,,25881,0.596223347,1
25882,0.31517335,0,,,,,,25882,0.439620424,0
25883,0.77190701,1,,,,,,25883,0.497253242,0
25884,0.371346663,0,,,,,,25884,0.353136131,0
25885,0.64163728,1,,,,,,25885,0.487900891,0
25886,0.545713641,1,,,,,,25886,0.596223347,1
25887,0.438375538,0,,,,,,25887,0.335476726,0
25888,0.488055802,0,,,,,,25888,0.517868015,1
25889,0.441228827,0,,,,,,25889,0.469419705,0
25890,0.684171679,1,,,,,,25890,0.596223347,1
25891,0.525779148,1,,,,,,25891,0.489711398,0
25892,0.317173928,0,,,,,,25892,0.528776628,1
25893,0.518271185,1,,,,,,25893,0.391711476,0
25894,0.443153182,0,,,,,,25894,0.664997681,1
25895,0.410057237,0,,,,,,25895,0.596223347,1
25896,0.700380324,1,,,,,,25896,0.493400779,0
25897,0.186560072,0,,,,,,25897,0.538183839,1
25898,0.30191731,0,,,,,,25898,0.336452484,0
25899,0.794966247,1,,,,,,25899,0.596223347,1
25900,0.307306954,0,,,,,,25900,0.489610609,0
25901,0.481092661,0,,,,,,25901,0.320422564,0
25902,0.876345714,1,,,,,,25902,0.681082486,1
25903,0.490308144,0,,,,,,25903,0.467086905,0
25904,0.695940448,1,,,,,,25904,0.411582101,0
25905,0.434216315,0,,,,,,25905,0.467086905,0
25906,0.336391134,0,,,,,,25906,0.420833817,0
25907,0.615101752,1,,,,,,25907,0.486478553,0
25908,0.583845952,1,,,,,,25908,0.436406951,0
25909,0.790422622,1,,,,,,25909,0.446500919,0
25910,0.421171052,0,,,,,,25910,0.542428383,1
25911,0.364668838,0,,,,,,25911,0.425745061,0
25912,0.493405507,0,,,,,,25912,0.558189777,1
25913,0.330269608,0,,,,,,25913,0.435245624,0
25914,0.549711332,1,,,,,,25914,0.596223347,1
25915,0.360787603,0,,,,,,25915,0.472403738,0
25916,0.596103365,1,,,,,,25916,0.469777557,0
25917,0.462128951,0,,,,,,25917,0.480675097,0
25918,0.22596836,0,,,,,,25918,0.471169406,0
25919,0.360271878,0,,,,,,25919,0.526115861,1
25920,0.792452875,1,,,,,,25920,0.484230453,0
25921,0.480692319,0,,,,,,25921,0.596223347,1
25922,0.580964134,1,,,,,,25922,0.37835138,0
25923,0.667750795,1,,,,,,25923,0.445400673,0
25924,0.445788423,0,,,,,,25924,0.4749091,0
25925,0.496413692,0,,,,,,25925,0.344970506,0
25926,0.549094543,1,,,,,,25926,0.506742689,1
25927,0.404442389,0,,,,,,25927,0.541365497,1
25928,0.307031507,0,,,,,,25928,0.447236498,0
25929,0.832709618,1,,,,,,25929,0.493736525,0
25930,0.477811103,0,,,,,,25930,0.596223347,1
25931,0.732233166,1,,,,,,25931,0.497253242,0
25932,0.505009453,1,,,,,,25932,0.396985749,0
25933,0.723006765,1,,,,,,25933,0.402753697,0
25934,0.824280921,1,,,,,,25934,0.497253242,0
25935,0.913175748,1,,,,,,25935,0.503179184,1
25936,0.945571848,1,,,,,,25936,0.596223347,1
25937,0.945036491,1,,,,,,25937,0.52200407,1
25938,0.781657719,1,,,,,,25938,0.467086905,0
25939,0.628067539,1,,,,,,25939,0.63865137,1
25940,0.292232,0,,,,,,25940,0.497253242,0
25941,0.766143953,1,,,,,,25941,0.523272465,1
25942,0.490846298,0,,,,,,25942,0.444388126,0
25943,0.376632706,0,,,,,,25943,0.374488641,0
25944,0.511624968,1,,,,,,25944,0.503639364,1
25945,0.382629096,0,,,,,,25945,0.596223347,1
25946,0.333507491,0,,,,,,25946,0.421197871,0
25947,0.183217386,0,,,,,,25947,0.339098086,0
25948,0.608966377,1,,,,,,25948,0.417587958,0
25949,0.18633204,0,,,,,,25949,0.550702262,1
25950,0.823797892,1,,,,,,25950,0.474521472,0
25951,0.859962858,1,,,,,,25951,0.460476819,0
25952,0.243057021,0,,,,,,25952,0.441093168,0
25953,0.834184223,1,,,,,,25953,0.596223347,1
25954,0.216572998,0,,,,,,25954,0.514893342,1
25955,0.63198993,1,,,,,,25955,0.596223347,1
25956,0.322532048,0,,,,,,25956,0.497253242,0
25957,0.486665405,0,,,,,,25957,0.467002447,0
25958,0.254563326,0,,,,,,25958,0.499495211,0
25959,0.353656016,0,,,,,,25959,0.469713426,0
25960,0.232062393,0,,,,,,25960,0.543749007,1
25961,0.457242228,0,,,,,,25961,0.480481206,0
25962,0.549439533,1,,,,,,25962,0.602550985,1
25963,0.372218728,0,,,,,,25963,0.445242181,0
25964,0.732568936,1,,,,,,25964,0.596223347,1
25965,0.387445304,0,,,,,,25965,0.596223347,1
25966,0.366690729,0,,,,,,25966,0.497253242,0
25967,0.500924948,1,,,,,,25967,0.564274407,1
25968,0.188859965,0,,,,,,25968,0.448456066,0
25969,0.451570554,0,,,,,,25969,0.47342112,0
25970,0.274572214,0,,,,,,25970,0.514115743,1
25971,0.492068832,0,,,,,,25971,0.543323174,1
25972,0.402040199,0,,,,,,25972,0.487900891,0
25973,0.218883951,0,,,,,,25973,0.486394404,0
25974,0.567390438,1,,,,,,25974,0.487304226,0
25975,0.532166093,1,,,,,,25975,0.485479571,0
25976,0.681570267,1,,,,,,25976,0.475160943,0
25977,0.800526946,1,,,,,,25977,0.497253242,0
25978,0.666396185,1,,,,,,25978,0.596223347,1
25979,0.514938794,1,,,,,,25979,0.497253242,0
25980,0.463087279,0,,,,,,25980,0.465876628,0
25981,0.314129678,0,,,,,,25981,0.506753308,1
25982,0.429497503,0,,,,,,25982,0.608166486,1
25983,0.320703093,0,,,,,,25983,0.596223347,1
25984,0.349584605,0,,,,,,25984,0.639881027,1
25985,0.198172374,0,,,,,,25985,0.458613038,0
25986,0.431347587,0,,,,,,25986,0.508743284,1
25987,0.301461341,0,,,,,,25987,0.460056816,0
25988,0.272916019,0,,,,,,25988,0.516759916,1
25989,0.452964551,0,,,,,,25989,0.483215077,0
25990,0.52051402,1,,,,,,25990,0.754645255,1
25991,0.232178747,0,,,,,,25991,0.596223347,1
25992,0.342122283,0,,,,,,25992,0.409513381,0
25993,0.259937421,0,,,,,,25993,0.516790199,1
25994,0.56364014,1,,,,,,25994,0.459573717,0
25995,0.505154891,1,,,,,,25995,0.384789731,0
25996,0.719804324,1,,,,,,25996,0.555119879,1
25997,0.339094442,0,,,,,,25997,0.596223347,1
25998,0.625042238,1,,,,,,25998,0.480485821,0
25999,0.744906085,1,,,,,,25999,0.498009248,0
26000,0.565058804,1,,,,,,26000,0.487900891,0
26001,0.889546591,1,,,,,,26001,0.435444529,0
26002,0.461730272,0,,,,,,26002,0.467086905,0
26003,0.857988815,1,,,,,,26003,0.596223347,1
26004,0.076613354,0,,,,,,26004,0.596223347,1
26005,0.262622814,0,,,,,,26005,0.377150208,0
26006,0.826525962,1,,,,,,26006,0.47852909,0
26007,0.494810207,0,,,,,,26007,0.362255281,0
26008,0.757507171,1,,,,,,26008,0.596223347,1
26009,0.87205406,1,,,,,,26009,0.479978245,0
26010,0.659019558,1,,,,,,26010,0.481112151,0
26011,0.442377999,0,,,,,,26011,0.505548191,1
26012,0.838874318,1,,,,,,26012,0.406060975,0
26013,0.561778612,1,,,,,,26013,0.596223347,1
26014,0.229668093,0,,,,,,26014,0.469640702,0
26015,0.4212923,0,,,,,,26015,0.60925322,1
26016,0.250859523,0,,,,,,26016,0.333566321,0
26017,0.35711833,0,,,,,,26017,0.459052945,0
26018,0.516733128,1,,,,,,26018,0.506320412,1
26019,0.542051648,1,,,,,,26019,0.535134075,1
26020,0.548306973,1,,,,,,26020,0.470234727,0
26021,0.268071111,0,,,,,,26021,0.504038415,1
26022,0.421677453,0,,,,,,26022,0.381248169,0
26023,0.305792328,0,,,,,,26023,0.596223347,1
26024,0.351134223,0,,,,,,26024,0.386300166,0
26025,0.16084567,0,,,,,,26025,0.468737065,0
26026,0.417941854,0,,,,,,26026,0.485698953,0
26027,0.879631374,1,,,,,,26027,0.516713162,1
26028,0.586191482,1,,,,,,26028,0.520328614,1
26029,0.196971162,0,,,,,,26029,0.596223347,1
26030,0.322789901,0,,,,,,26030,0.506921626,1
26031,0.866406939,1,,,,,,26031,0.541182651,1
26032,0.866157775,1,,,,,,26032,0.596223347,1
26033,0.4442742,0,,,,,,26033,0.596223347,1
26034,0.315541133,0,,,,,,26034,0.467086905,0
26035,0.38170619,0,,,,,,26035,0.46821424,0
26036,0.397056705,0,,,,,,26036,0.277780788,0
26037,0.484165666,0,,,,,,26037,0.543749007,1
26038,0.869707425,1,,,,,,26038,0.596223347,1
26039,0.404150422,0,,,,,,26039,0.4498888,0
26040,0.898628373,1,,,,,,26040,0.489458403,0
26041,0.473992309,0,,,,,,26041,0.478670023,0
26042,0.32955999,0,,,,,,26042,0.608081142,1
26043,0.541116713,1,,,,,,26043,0.516385121,1
26044,0.585261381,1,,,,,,26044,0.596223347,1
26045,0.359957993,0,,,,,,26045,0.438237914,0
26046,0.339914718,0,,,,,,26046,0.321431606,0
26047,0.410180159,0,,,,,,26047,0.467086905,0
26048,0.52618968,1,,,,,,26048,0.55616232,1
26049,0.497818515,0,,,,,,26049,0.596223347,1
26050,0.539683667,1,,,,,,26050,0.482673186,0
26051,0.731404882,1,,,,,,26051,0.596223347,1
26052,0.439170764,0,,,,,,26052,0.462002356,0
26053,0.542380678,1,,,,,,26053,0.543938934,1
26054,0.408420868,0,,,,,,26054,0.370405341,0
26055,0.36462304,0,,,,,,26055,0.519533201,1
26056,0.592462085,1,,,,,,26056,0.490594691,0
26057,0.561994283,1,,,,,,26057,0.596223347,1
26058,0.387887396,0,,,,,,26058,0.44939298,0
26059,0.322912821,0,,,,,,26059,0.596223347,1
26060,0.500807736,1,,,,,,26060,0.557723015,1
26061,0.550729854,1,,,,,,26061,0.474292504,0
26062,0.833895207,1,,,,,,26062,0.437849407,0
26063,0.656960404,1,,,,,,26063,0.487900891,0
26064,0.881167882,1,,,,,,26064,0.533255164,1
26065,0.575391958,1,,,,,,26065,0.596223347,1
26066,0.392806891,0,,,,,,26066,0.409259786,0
26067,0.778876131,1,,,,,,26067,0.596223347,1
26068,0.506600145,1,,,,,,26068,0.596641001,1
26069,0.392786619,0,,,,,,26069,0.561193551,1
26070,0.538241513,1,,,,,,26070,0.588226007,1
26071,0.419090631,0,,,,,,26071,0.480056095,0
26072,0.345810834,0,,,,,,26072,0.496991311,0
26073,0.759134196,1,,,,,,26073,0.596223347,1
26074,0.302150734,0,,,,,,26074,0.467086905,0
26075,0.724344022,1,,,,,,26075,0.667851371,1
26076,0.578572469,1,,,,,,26076,0.539425257,1
26077,0.50017629,1,,,,,,26077,0.47663458,0
26078,0.339351289,0,,,,,,26078,0.435916075,0
26079,0.265413238,0,,,,,,26079,0.451123377,0
26080,0.353022376,0,,,,,,26080,0.559130614,1
26081,0.651346212,1,,,,,,26081,0.540456562,1
26082,0.232076805,0,,,,,,26082,0.558286732,1
26083,0.333514772,0,,,,,,26083,0.497387795,0
26084,0.517907642,1,,,,,,26084,0.524813877,1
26085,0.405215862,0,,,,,,26085,0.467086905,0
26086,0.225220708,0,,,,,,26086,0.596223347,1
26087,0.722235698,1,,,,,,26087,0.627171643,1
26088,0.356757104,0,,,,,,26088,0.656025557,1
26089,0.533567218,1,,,,,,26089,0.432623239,0
26090,0.262968038,0,,,,,,26090,0.42899862,0
26091,0.88310055,1,,,,,,26091,0.615916247,1
26092,0.860048995,1,,,,,,26092,0.472621047,0
26093,0.656554829,1,,,,,,26093,0.512212463,1
26094,0.548287186,1,,,,,,26094,0.453149742,0
26095,0.899420318,1,,,,,,26095,0.625218039,1
26096,0.498381892,0,,,,,,26096,0.38556862,0
26097,0.493452142,0,,,,,,26097,0.534282532,1
26098,0.510300023,1,,,,,,26098,0.422880873,0
26099,0.493083608,0,,,,,,26099,0.768686281,1
26100,0.388473978,0,,,,,,26100,0.467453536,0
26101,0.35912616,0,,,,,,26101,0.457883561,0
26102,0.52266709,1,,,,,,26102,0.596223347,1
26103,0.494654586,0,,,,,,26103,0.575285396,1
26104,0.496135459,0,,,,,,26104,0.515015723,1
26105,0.478311832,0,,,,,,26105,0.438349252,0
26106,0.402928216,0,,,,,,26106,0.576263787,1
26107,0.721917683,1,,,,,,26107,0.596223347,1
26108,0.271223441,0,,,,,,26108,0.469640702,0
26109,0.654434257,1,,,,,,26109,0.529531971,1
26110,0.826434432,1,,,,,,26110,0.596223347,1
26111,0.426127792,0,,,,,,26111,0.529531971,1
26112,0.839139799,1,,,,,,26112,0.596223347,1
26113,0.385718755,0,,,,,,26113,0.453920469,0
26114,0.744136135,1,,,,,,26114,0.452113469,0
26115,0.313719924,0,,,,,,26115,0.37465547,0
26116,0.417722953,0,,,,,,26116,0.432544016,0
26117,0.34601057,0,,,,,,26117,0.431151207,0
26118,0.482790147,0,,,,,,26118,0.484040727,0
26119,0.461924478,0,,,,,,26119,0.427655933,0
26120,0.563981677,1,,,,,,26120,0.594988272,1
26121,0.593503587,1,,,,,,26121,0.467086905,0
26122,0.197223861,0,,,,,,26122,0.596223347,1
26123,0.31932992,0,,,,,,26123,0.467086905,0
26124,0.803480105,1,,,,,,26124,0.505437412,1
26125,0.498839997,0,,,,,,26125,0.521197227,1
26126,0.409765204,0,,,,,,26126,0.511054407,1
26127,0.203772792,0,,,,,,26127,0.596223347,1
26128,0.466109277,0,,,,,,26128,0.471335047,0
26129,0.327632851,0,,,,,,26129,0.596223347,1
26130,0.811206657,1,,,,,,26130,0.528988469,1
26131,0.269198471,0,,,,,,26131,0.330360246,0
26132,0.412193681,0,,,,,,26132,0.497253242,0
26133,0.193916674,0,,,,,,26133,0.478633203,0
26134,0.653470065,1,,,,,,26134,0.466325898,0
26135,0.452120704,0,,,,,,26135,0.487900891,0
26136,0.520634799,1,,,,,,26136,0.446128598,0
26137,0.571368828,1,,,,,,26137,0.47075172,0
26138,0.817075073,1,,,,,,26138,0.486478553,0
26139,0.845475949,1,,,,,,26139,0.596223347,1
26140,0.892258389,1,,,,,,26140,0.596223347,1
26141,0.396476491,0,,,,,,26141,0.447182431,0
26142,0.859767146,1,,,,,,26142,0.596223347,1
26143,0.765074618,1,,,,,,26143,0.497253242,0
26144,0.424631139,0,,,,,,26144,0.487855169,0
26145,0.537567305,1,,,,,,26145,0.503337148,1
26146,0.728189386,1,,,,,,26146,0.457917313,0
26147,0.454470294,0,,,,,,26147,0.304636691,0
26148,0.400747788,0,,,,,,26148,0.596223347,1
26149,0.290352159,0,,,,,,26149,0.466926317,0
26150,0.549382775,1,,,,,,26150,0.437005539,0
26151,0.316022523,0,,,,,,26151,0.52622054,1
26152,0.486132751,0,,,,,,26152,0.548043942,1
26153,0.90513661,1,,,,,,26153,0.667702311,1
26154,0.636795087,1,,,,,,26154,0.527429634,1
26155,0.060957404,0,,,,,,26155,0.336791331,0
26156,0.491678439,0,,,,,,26156,0.54938201,1
26157,0.788056457,1,,,,,,26157,0.538352326,1
26158,0.595667271,1,,,,,,26158,0.497253242,0
26159,0.501262167,1,,,,,,26159,0.596223347,1
26160,0.588203233,1,,,,,,26160,0.596223347,1
26161,0.382695486,0,,,,,,26161,0.493736525,0
26162,0.522441603,1,,,,,,26162,0.478325259,0
26163,0.526948953,1,,,,,,26163,0.709680174,1
26164,0.35410561,0,,,,,,26164,0.395972175,0
26165,0.749517789,1,,,,,,26165,0.536115683,1
26166,0.661119721,1,,,,,,26166,0.469231121,0
26167,0.430022794,0,,,,,,26167,0.472152005,0
26168,0.438701267,0,,,,,,26168,0.488199631,0
26169,0.515602841,1,,,,,,26169,0.539979544,1
26170,0.739099439,1,,,,,,26170,0.418448022,0
26171,0.527673721,1,,,,,,26171,0.596223347,1
26172,0.247132019,0,,,,,,26172,0.489458403,0
26173,0.506901113,1,,,,,,26173,0.504797238,1
26174,0.515621466,1,,,,,,26174,0.539641039,1
26175,0.631576695,1,,,,,,26175,0.557426411,1
26176,0.497866879,0,,,,,,26176,0.503351033,1
26177,0.729832311,1,,,,,,26177,0.52617496,1
26178,0.514016402,1,,,,,,26178,0.344970506,0
26179,0.63450421,1,,,,,,26179,0.596223347,1
26180,0.571511917,1,,,,,,26180,0.603795284,1
26181,0.711306825,1,,,,,,26181,0.497253242,0
26182,0.351414769,0,,,,,,26182,0.440362457,0
26183,0.426409214,0,,,,,,26183,0.437393421,0
26184,0.363482666,0,,,,,,26184,0.596223347,1
26185,0.299254327,0,,,,,,26185,0.402307024,0
26186,0.363814955,0,,,,,,26186,0.596223347,1
26187,0.431090285,0,,,,,,26187,0.426563662,0
26188,0.5207517,1,,,,,,26188,0.426473791,0
26189,0.48962019,0,,,,,,26189,0.596223347,1
26190,0.355257136,0,,,,,,26190,0.399832603,0
26191,0.760793738,1,,,,,,26191,0.596223347,1
26192,0.720217627,1,,,,,,26192,0.377628103,0
26193,0.705025652,1,,,,,,26193,0.467086905,0
26194,0.556785641,1,,,,,,26194,0.588685825,1
26195,0.181956308,0,,,,,,26195,0.371445916,0
26196,0.478748211,0,,,,,,26196,0.435863239,0
26197,0.689627302,1,,,,,,26197,0.465693223,0
26198,0.451623286,0,,,,,,26198,0.538572434,1
26199,0.749351263,1,,,,,,26199,0.459757653,0
26200,0.337404483,0,,,,,,26200,0.493736525,0
26201,0.618274144,1,,,,,,26201,0.628370016,1
26202,0.739870308,1,,,,,,26202,0.596223347,1
26203,0.585117752,1,,,,,,26203,0.596223347,1
26204,0.872656111,1,,,,,,26204,0.352775967,0
26205,0.459417454,0,,,,,,26205,0.449599849,0
26206,0.251040444,0,,,,,,26206,0.467086905,0
26207,0.364521623,0,,,,,,26207,0.411169378,0
26208,0.593505,1,,,,,,26208,0.470807811,0
26209,0.348621988,0,,,,,,26209,0.316891366,0
26210,0.309765493,0,,,,,,26210,0.483489482,0
26211,0.389131121,0,,,,,,26211,0.547549536,1
26212,0.621768972,1,,,,,,26212,0.596223347,1
26213,0.417276414,0,,,,,,26213,0.549582375,1
26214,0.307512461,0,,,,,,26214,0.419875454,0
26215,0.372114025,0,,,,,,26215,0.419564186,0
26216,0.349492488,0,,,,,,26216,0.467086905,0
26217,0.325679967,0,,,,,,26217,0.413253138,0
26218,0.333734522,0,,,,,,26218,0.475045673,0
26219,0.847434431,1,,,,,,26219,0.596223347,1
26220,0.617502774,1,,,,,,26220,0.551652071,1
26221,0.411876368,0,,,,,,26221,0.417388408,0
26222,0.468339634,0,,,,,,26222,0.507057658,1
26223,0.373221846,0,,,,,,26223,0.596223347,1
26224,0.275605222,0,,,,,,26224,0.471975616,0
26225,0.747944572,1,,,,,,26225,0.462986031,0
26226,0.434135897,0,,,,,,26226,0.70574788,1
26227,0.546565534,1,,,,,,26227,0.47564608,0
26228,0.609989356,1,,,,,,26228,0.605890107,1
26229,0.44706681,0,,,,,,26229,0.549456676,1
26230,0.36878448,0,,,,,,26230,0.596223347,1
26231,0.50319945,1,,,,,,26231,0.618336927,1
26232,0.161946979,0,,,,,,26232,0.596223347,1
26233,0.414317279,0,,,,,,26233,0.562891744,1
26234,0.173424085,0,,,,,,26234,0.555860918,1
26235,0.552872282,1,,,,,,26235,0.445439933,0
26236,0.852169378,1,,,,,,26236,0.596223347,1
26237,0.283564333,0,,,,,,26237,0.258481594,0
26238,0.315417093,0,,,,,,26238,0.46891867,0
26239,0.515326984,1,,,,,,26239,0.464866236,0
26240,0.667622473,1,,,,,,26240,0.30760811,0
26241,0.339155919,0,,,,,,26241,0.531130509,1
26242,0.767721997,1,,,,,,26242,0.472362132,0
26243,0.353519601,0,,,,,,26243,0.471152501,0
26244,0.217313181,0,,,,,,26244,0.367696792,0
26245,0.220092579,0,,,,,,26245,0.596223347,1
26246,0.292962407,0,,,,,,26246,0.56646492,1
26247,0.289686886,0,,,,,,26247,0.467086905,0
26248,0.116707608,0,,,,,,26248,0.596223347,1
26249,0.501401947,1,,,,,,26249,0.545702363,1
26250,0.747483418,1,,,,,,26250,0.531737765,1
26251,0.735680957,1,,,,,,26251,0.379245165,0
26252,0.633927932,1,,,,,,26252,0.563064818,1
26253,0.769858771,1,,,,,,26253,0.596223347,1
26254,0.883884497,1,,,,,,26254,0.447776454,0
26255,0.521518892,1,,,,,,26255,0.484011972,0
26256,0.315265479,0,,,,,,26256,0.488053877,0
26257,0.389664672,0,,,,,,26257,0.378328766,0
26258,0.404361929,0,,,,,,26258,0.596223347,1
26259,0.86188394,1,,,,,,26259,0.446197186,0
26260,0.899735579,1,,,,,,26260,0.596223347,1
26261,0.288696966,0,,,,,,26261,0.493736525,0
26262,0.496658572,0,,,,,,26262,0.484695201,0
26263,0.516359408,1,,,,,,26263,0.536634401,1
26264,0.383872617,0,,,,,,26264,0.464692937,0
26265,0.254979083,0,,,,,,26265,0.519448885,1
26266,0.310421584,0,,,,,,26266,0.450891389,0
26267,0.434377041,0,,,,,,26267,0.441488783,0
26268,0.450727145,0,,,,,,26268,0.452977297,0
26269,0.460203511,0,,,,,,26269,0.536472938,1
26270,0.186971949,0,,,,,,26270,0.494097967,0
26271,0.613469079,1,,,,,,26271,0.513596708,1
26272,0.643113725,1,,,,,,26272,0.435516544,0
26273,0.276309787,0,,,,,,26273,0.466127335,0
26274,0.912478168,1,,,,,,26274,0.602345454,1
26275,0.345959872,0,,,,,,26275,0.596223347,1
26276,0.939198274,1,,,,,,26276,0.497253242,0
26277,0.228319342,0,,,,,,26277,0.473428898,0
